v(v_in),v(out),v(c1),v(c2),v(tail)
1.260000000000000842e-01,5.012999832367338372e-08,4.999999906565379071e+00,3.137282226993111767e+00,1.868893565662524958e+00
1.280000000000000859e-01,5.012999832372924819e-08,4.999999906574780439e+00,3.137282226994902334e+00,1.868893565662553602e+00
1.300000000000000877e-01,5.012999832378508619e-08,4.999999906584180920e+00,3.137282226996209733e+00,1.868893565662570033e+00
1.320000000000000895e-01,5.012999832384093742e-08,4.999999906593580512e+00,3.137282226997943457e+00,1.868893565662595124e+00
1.340000000000000913e-01,5.012999832389679528e-08,4.999999906602980992e+00,3.137282227018634018e+00,1.868893565662889111e+00
1.360000000000000930e-01,5.012999832395264651e-08,4.999999906612380585e+00,3.137282227058594053e+00,1.868893565663109602e+00
1.380000000000000948e-01,5.012999832400848451e-08,4.999999906621780177e+00,3.137282227077323515e+00,1.868893565663379830e+00
1.400000000000000966e-01,5.012999832406432913e-08,4.999999906631179769e+00,3.137282227128140644e+00,1.868893565664109913e+00
1.420000000000000984e-01,5.012999832412018698e-08,4.999999906640580249e+00,3.137282227103186827e+00,1.868893565663793277e+00
1.440000000000001001e-01,5.012999832417603822e-08,4.999999906649979842e+00,3.137282227094404519e+00,1.868893565663626744e+00
1.460000000000001019e-01,5.012999832423188945e-08,4.999999906659379434e+00,3.137282227111429123e+00,1.868893565663867884e+00
1.480000000000001037e-01,5.012999832428774069e-08,4.999999906668779914e+00,3.137282227095171905e+00,1.868893565663657164e+00
1.500000000000001055e-01,5.012999832434357869e-08,4.999999906678179507e+00,3.137282227108928012e+00,1.868893565663831691e+00
1.520000000000001072e-01,5.012999832439942992e-08,4.999999906687579099e+00,3.137282227151701797e+00,1.868893565664456080e+00
1.540000000000001090e-01,5.012999832445529439e-08,4.999999906696980467e+00,3.137282227160966830e+00,1.868893565664620615e+00
1.560000000000001108e-01,5.012999832451114563e-08,4.999999906706379171e+00,3.137282227164405857e+00,1.868893565664660583e+00
1.580000000000001126e-01,5.012999832456698363e-08,4.999999906715779652e+00,3.137282227178360472e+00,1.868893565664855094e+00
1.600000000000001144e-01,5.012999832462284148e-08,4.999999906725180132e+00,3.137282227176854121e+00,1.868893565664845990e+00
1.620000000000001161e-01,5.012999832467867948e-08,4.999999906734578836e+00,3.137282227189956529e+00,1.868893565665025625e+00
1.640000000000001179e-01,5.012999832473451748e-08,4.999999906743978428e+00,3.137282227178900484e+00,1.868893565664879963e+00
1.660000000000001197e-01,5.012999832479037533e-08,4.999999906753379797e+00,3.137282227219883701e+00,1.868893565665446621e+00
1.680000000000001215e-01,5.012999832484623318e-08,4.999999906762779389e+00,3.137282227202802698e+00,1.868893565665244560e+00
1.700000000000001232e-01,5.012999832490208442e-08,4.999999906772180758e+00,3.137282227259275746e+00,1.868893565666015055e+00
1.720000000000001250e-01,5.012999832495792904e-08,4.999999906781580350e+00,3.137282227236169341e+00,1.868893565665741274e+00
1.740000000000001268e-01,5.012999832501375380e-08,4.999999906790979054e+00,3.137282227221048991e+00,1.868893565665485923e+00
1.760000000000001286e-01,5.012999832506962489e-08,4.999999906800380423e+00,3.137282227257854661e+00,1.868893565666001066e+00
1.780000000000001303e-01,5.012999832512547612e-08,4.999999906809780015e+00,3.137282227265300705e+00,1.868893565666146284e+00
