time,v(v_in),v(out),v(c1),v(c2)
2.620008981599907319e-03,1.130823514467153901e+00,1.884499653773029701e-05,4.999852832123117707e+00,3.137013035728805299e+00
2.621008981599907452e-03,1.121690596637777482e+00,-1.766315655972975298e-05,4.999957118099862541e+00,3.137013581840488730e+00
2.622008981599907584e-03,1.112612092103596684e+00,1.680584705887285847e-05,4.999856780407617052e+00,3.137017238084746751e+00
2.623008981599907717e-03,1.103588359268441454e+00,-1.575302156952778325e-05,4.999955729670639393e+00,3.137017923004523201e+00
2.624008981599907850e-03,1.094619754373812093e+00,1.501645094741089248e-05,4.999860604918167084e+00,3.137021431439682040e+00
2.625008981599907983e-03,1.085706631484889106e+00,-1.407580741276480571e-05,4.999954481621356805e+00,3.137022247512639250e+00
2.626008981599908115e-03,1.076849342476491778e+00,1.344430616066805962e-05,4.999864311091553049e+00,3.137025616517837179e+00
2.627008981599908248e-03,1.068048237019234126e+00,-1.260126684050744722e-05,4.999953368265821929e+00,3.137026556376614206e+00
2.628008981599908381e-03,1.059303662565685089e+00,1.206125998603700385e-05,4.999867904276978692e+00,3.137029794116737325e+00
2.629008981599908513e-03,1.050615964336665709e+00,-1.130319376259428729e-05,4.999952384025313279e+00,3.137030850658629522e+00
2.630008981599908646e-03,1.041985485307636017e+00,1.084291620566665834e-05,4.999871389717565506e+00,3.137033964840742151e+00
2.631008981599908779e-03,1.033412566195121007e+00,-1.015887586819732095e-05,4.999951523414877030e+00,3.137035131361154860e+00
2.632008981599908912e-03,1.024897545443297586e+00,9.768129291918888627e-06,4.999874772562399095e+00,3.137038129336703118e+00
2.633008981599909044e-03,1.016440759210600175e+00,-9.148627337592466849e-06,4.999950780997544975e+00,3.137039399357214986e+00
2.634008981599909177e-03,1.008042541356468647e+00,8.818567140514307778e-06,4.999878057756573568e+00,3.137042288201803419e+00
2.635008981599909310e-03,9.997032234281593155e-01,-8.255368933524529857e-06,4.999950151661945341e+00,3.137043655624866201e+00
2.636008981599909443e-03,9.914231346476742868e-01,7.978321777549028998e-06,4.999881250184201598e+00,3.137046441941370833e+00
2.637008981599909575e-03,9.832026018987314320e-01,-7.464290694989973318e-06,4.999949630218544883e+00,3.137047900867814487e+00
2.638008981599909708e-03,9.750419497138971270e-01,7.233598286680372867e-06,4.999884354483945970e+00,3.137050591047530368e+00
2.639008981599909841e-03,9.669415002617416377e-01,-6.762533347313609711e-06,4.999949211871863142e+00,3.137052136030435978e+00
2.640008981599909973e-03,9.589015733341346159e-01,6.572415157417879245e-06,4.999887375253616817e+00,3.137054735937618410e+00
2.641008981599910106e-03,9.509224863336338540e-01,-6.138938418030789671e-06,4.999948891808391416e+00,3.137056361708366659e+00
2.642008981599910239e-03,9.430045542609226672e-01,5.984372793043280550e-06,4.999890316802151347e+00,3.137058877181136296e+00
2.643008981599910372e-03,9.351480897024146977e-01,-5.583808480997177228e-06,4.999948665501184664e+00,3.137060578665309851e+00
2.644008981599910504e-03,9.273534028178609390e-01,5.460430084258851283e-06,4.999893183302954291e+00,3.137063015041178904e+00
2.645008981599910637e-03,9.196208013281661486e-01,-5.088715193186872020e-06,4.999948528554916116e+00,3.137064787530551513e+00
2.646008981599910770e-03,9.119505905031879411e-01,4.992726568927521715e-06,4.999895978700269694e+00,3.137067149928061127e+00
2.647008981599910903e-03,9.043430731497248409e-01,-4.646325921362842864e-06,4.999948476781328921e+00,3.137068988975483030e+00
2.648008981599911035e-03,8.967985495995314249e-01,4.574426960114272531e-06,4.999898706911994672e+00,3.137071282214127788e+00
2.649008981599911168e-03,8.893173176974751293e-01,-4.250267303573189173e-06,4.999948506145092786e+00,3.137073183558721556e+00
2.650008981599911301e-03,8.818996727897896459e-01,4.199580224478957997e-06,4.999901371506985548e+00,3.137075412201993263e+00
2.651008981599911433e-03,8.745459077123869385e-01,-3.894984021266016979e-06,4.999948612763613909e+00,3.137077371740631726e+00
2.652008981599911566e-03,8.672563127793286863e-01,3.863004272072147243e-06,4.999903975996305761e+00,3.137079540191514138e+00
2.653008981599911699e-03,8.600311757713370309e-01,-3.575639776794036203e-06,4.999948792934162611e+00,3.137081554239600223e+00
2.654008981599911832e-03,8.528707819244494281e-01,3.560182307335833428e-06,4.999906523671718617e+00,3.137083666426955020e+00
2.655008981599911964e-03,8.457754139187503295e-01,-3.288014628642519620e-06,4.999949043150911265e+00,3.137085731397816879e+00
2.656008981599912097e-03,8.387453518672276509e-01,3.287172809542364929e-06,4.999909017699354585e+00,3.137087791247238133e+00
2.657008981599912230e-03,8.317808733046858638e-01,-3.028428945321244397e-06,4.999949359992188924e+00,3.137089903652909850e+00
2.658008981599912363e-03,8.248822531768251753e-01,3.040538409881448994e-06,4.999911461069801000e+00,3.137091914735537834e+00
2.659008981599912495e-03,8.180497638293400264e-01,-2.793667895116853848e-06,4.999949740270038134e+00,3.137094071480576840e+00
2.660008981599912628e-03,8.112836749972192063e-01,2.817273685974690395e-06,4.999913856658892541e+00,3.137096037282942618e+00
2.661008981599912761e-03,8.045842537940677275e-01,-2.580922397340634265e-06,4.999950180908721897e+00,3.137098235298950044e+00
2.662008981599912893e-03,7.979517647015594850e-01,2.614749032887297631e-06,4.999916207109206923e+00,3.137100158989054588e+00
